Date,Price,Open,High,Low,Volume,Chg%
16-08-2020,1939.4,1947.04,2015.45,1911.65,0,-0.0022
23-08-2020,1964.49,1939.24,1976.6,1902.77,0,0.0129
30-08-2020,1932.45,1965.4,1992.38,1916.67,0,-0.0163
06-09-2020,1941.5,1931.24,1966.5,1906.67,0,0.0047
13-09-2020,1949.69,1941.05,1973.63,1932.99,0,0.0042
20-09-2020,1860.05,1949.55,1955.75,1848.45,0,-0.046
27-09-2020,1898.7,1859,1917.28,1849.19,0,0.0208
04-10-2020,1929.43,1902.24,1930.83,1873.05,0,0.0162
11-10-2020,1898.97,1930.5,1933.45,1882.44,0,-0.0158
18-10-2020,1900.79,1899.94,1931.41,1894.54,0,0.001
25-10-2020,1877.95,1902.34,1911.34,1859.67,0,-0.012
01-11-2020,1951.51,1878.59,1960.77,1873.21,0,0.0392
08-11-2020,1888.04,1954.65,1965.92,1850.36,0,-0.0325
15-11-2020,1870.49,1888.74,1899.35,1852.48,0,-0.0093
22-11-2020,1788.13,1869.84,1876.72,1773.93,0,-0.044
29-11-2020,1837.61,1789.05,1848.26,1764.69,0,0.0277
06-12-2020,1839.03,1837.99,1875.79,1822.99,0,0.0008
13-12-2020,1880.66,1839.3,1896.26,1819.92,0,0.0226
20-12-2020,1875.82,1883.2,1906.93,1856.69,0,-0.0026
27-12-2020,1898.1,1885.93,1901.26,1869.21,0,0.0119
03-01-2021,1848.26,1906.05,1959.6,1828.74,0,-0.0263
10-01-2021,1826.59,1849.34,1864.08,1817.14,0,-0.0117
17-01-2021,1852.55,1828.94,1875.45,1810.46,0,0.0142
24-01-2021,1846.09,1855.75,1876.03,1831.29,0,-0.0035
31-01-2021,1811.62,1863.05,1871.84,1785.15,0,-0.0187
07-02-2021,1823.46,1815.44,1855.7,1807.48,0,0.0065
14-02-2021,1782.31,1825.34,1827.59,1760.13,0,-0.0226
21-02-2021,1733.49,1782.24,1816.27,1717.26,0,-0.0274
28-02-2021,1700.86,1733.4,1760.02,1687.12,0,-0.0188
07-03-2021,1726.41,1702.8,1739.99,1676.7,0,0.015
14-03-2021,1744.74,1727.74,1755.59,1719.05,0,0.0106
21-03-2021,1731.97,1745.74,1747.18,1721.23,0,-0.0073
28-03-2021,1728.84,1732.15,1733.4,1677.93,0,-0.0018
04-04-2021,1743.1,1728.74,1759.13,1721.22,0,0.0082
11-04-2021,1776.31,1743.8,1784.07,1723.27,0,0.0191
18-04-2021,1777.18,1779.5,1798.29,1763.18,0,0.0005
25-04-2021,1768.59,1776.34,1790.43,1756.19,0,-0.0048
02-05-2021,1830.48,1768.49,1843.45,1765.91,0,0.035
09-05-2021,1842.19,1833.24,1845.58,1808.78,0,0.0064
16-05-2021,1880.3,1843.84,1890.18,1841.24,0,0.0207
23-05-2021,1902.64,1882.34,1913.15,1872.73,0,0.0119
30-05-2021,1889.97,1903.69,1916.84,1856.09,0,-0.0067
06-06-2021,1876.64,1888.49,1903.95,1869.84,0,-0.0071
13-06-2021,1763.34,1874.59,1878.21,1761.04,0,-0.0604
20-06-2021,1780.34,1764.44,1795.18,1764.44,0,0.0096
27-06-2021,1786.79,1781.24,1795.4,1750.11,0,0.0036
04-07-2021,1807.98,1787.69,1818.7,1784.09,0,0.0119
11-07-2021,1810.89,1807.94,1833.99,1791.21,0,0.0016
18-07-2021,1801.34,1811.65,1825.27,1790.45,0,-0.0053
25-07-2021,1813.58,1802.65,1833.05,1792.6,0,0.0068
01-08-2021,1762.69,1814.34,1832.1,1758.33,0,-0.0281
08-08-2021,1779.15,1763.34,1780.53,1684.77,0,0.0093
15-08-2021,1780.87,1778.44,1795.77,1770.38,0,0.001
22-08-2021,1816.67,1780.55,1819.38,1776.03,0,0.0201
29-08-2021,1826.19,1817.55,1834.55,1801.47,0,0.0052
05-09-2021,1787.34,1828.66,1830.6,1781.98,0,-0.0213
12-09-2021,1754.16,1788.55,1808.99,1745.04,0,-0.0186
19-09-2021,1749.86,1754.3,1787.51,1737.84,0,-0.0024
26-09-2021,1760.36,1751.24,1764.63,1721.07,0,0.006
03-10-2021,1756.67,1762.15,1781.6,1745.45,0,-0.0021
10-10-2021,1767.26,1757.34,1800.91,1749.68,0,0.006
17-10-2021,1792.48,1767.74,1814.22,1759.68,0,0.0143
24-10-2021,1782.81,1794,1810.49,1771.7,0,-0.0054
31-10-2021,1816.73,1783.24,1818.61,1758.45,0,0.019
07-11-2021,1864.04,1818.44,1868.73,1812.08,0,0.026
14-11-2021,1844.6,1868.15,1877.4,1842.98,0,-0.0104
21-11-2021,1791.81,1846.74,1849.49,1778.44,0,-0.0286
28-11-2021,1783.74,1790.05,1809.38,1761.68,0,-0.0045
05-12-2021,1782.51,1784.79,1793.6,1769.43,0,-0.0007
